PARTE	O	O	O	O	
PRIMA	O	O	O	O	
.	O	O	O	O	

Veniamo	O	O	O	O	
ai	O	O	O	O	
fatti	O	O	O	O	
:	O	O	O	O	
I	O	O	O	O	
.	O	O	O	O	

Nel	O	O	O	O	
pomeriggio	O	O	O	O	
del	O	O	O	O	
30	O	O	O	O	
luglio	O	O	O	O	
18	O	O	O	O	
....	O	O	O	O	
un	B-PER	O	O	O	
uomo	I-PER	O	O	O	
correva	O	O	O	O	
trafelato	O	O	O	O	
verso	O	O	O	O	
il	O	O	O	O	
parco	O	B-FAC	O	O	
di	O	I-FAC	O	O	
Montrone	B-GPE	I-FAC	O	O	
,	O	O	O	O	
presso	O	O	O	O	
Napoli	B-GPE	O	O	O	
.	O	O	O	O	

Aveva	O	O	O	O	
fiori	O	O	O	O	
e	O	O	O	O	
nastri	O	O	O	O	
rossi	O	O	O	O	
al	O	O	O	O	
cappello	O	O	O	O	
:	O	O	O	O	
i	O	O	O	O	
panni	O	O	O	O	
da	O	O	O	O	
festa	O	O	O	O	
:	O	O	O	O	
la	O	O	O	O	
faccia	O	O	O	O	
come	O	O	O	O	
infuocata	O	O	O	O	
.	O	O	O	O	

--	O	O	O	O	
Domenico	B-PER	O	O	O	
!	O	O	O	O	

...	O	O	O	O	
Domenico	B-PER	O	O	O	
!	O	O	O	O	

...	O	O	O	O	
--	O	O	O	O	
Uomini	B-PER	O	O	O	
,	O	O	O	O	
donne	B-PER	O	O	O	
,	O	O	O	O	
ragazzi	B-PER	O	O	O	
lo	O	O	O	O	
chiamavano	O	O	O	O	
,	O	O	O	O	
sghignazzando	O	O	O	O	
,	O	O	O	O	
facendosi	O	O	O	O	
beffe	O	O	O	O	
di	O	O	O	O	
lui	O	O	O	O	
,	O	O	O	O	
ma	O	O	O	O	
egli	O	O	O	O	
non	O	O	O	O	
si	O	O	O	O	
fermava	O	O	O	O	
.	O	O	O	O	

--	O	O	O	O	
È	O	O	O	O	
tardi	O	O	O	O	
!	O	O	O	O	

...	O	O	O	O	
è	O	O	O	O	
tardi	O	O	O	O	
!	O	O	O	O	

...	O	O	O	O	
--	O	O	O	O	
aveva	O	O	O	O	
risposto	O	O	O	O	
due	O	O	O	O	
o	O	O	O	O	
tre	O	O	O	O	
volte	O	O	O	O	
a	O	O	O	O	
'	O	O	O	O	
più	O	O	O	O	
importuni	O	O	O	O	
.	O	O	O	O	

E	O	O	O	O	
aveva	O	O	O	O	
continuato	O	O	O	O	
nella	O	O	O	O	
sua	O	O	O	O	
corsa	O	O	O	O	
.	O	O	O	O	

Domenico	B-PER	O	O	O	
era	O	O	O	O	
ben	O	O	O	O	
noto	O	O	O	O	
per	O	O	O	O	
diecine	O	O	O	O	
di	O	O	O	O	
miglia	O	O	O	O	
intorno	O	O	O	O	
a	O	O	O	O	
Napoli	B-GPE	O	O	O	
.	O	O	O	O	

Avea	O	O	O	O	
servito	O	O	O	O	
molti	B-PER	O	O	O	
signori	I-PER	O	O	O	
,	O	O	O	O	
in	O	O	O	O	
un	O	O	O	O	
anno	O	O	O	O	
mutava	O	O	O	O	
cinque	B-PER	O	O	O	
,	I-PER	O	O	O	
sei	I-PER	O	O	O	
padroni	I-PER	O	O	O	
;	O	O	O	O	
era	O	O	O	O	
stato	O	O	O	O	
cocchiere	B-PER	O	O	O	
