CAPITOLO	O	O	O	O	
I	O	O	O	O	
.	O	O	O	O	

In	O	O	O	O	
Val	B-LOC	O	O	O	
Mis	I-LOC	O	O	O	
'	I-LOC	O	O	O	
cia	I-LOC	O	O	O	
.	O	O	O	O	

Il	O	O	O	O	
sole	O	O	O	O	
era	O	O	O	O	
scomparso	O	O	O	O	
;	O	O	O	O	
una	O	O	O	O	
leggera	O	O	O	O	
nebbia	O	O	O	O	
si	O	O	O	O	
stendeva	O	O	O	O	
sulla	O	O	O	O	
terra	O	O	O	O	
fredda	O	O	O	O	
e	O	O	O	O	
umida	O	O	O	O	
.	O	O	O	O	

Oppressi	O	O	O	O	
da	O	O	O	O	
insolita	O	O	O	O	
tristezza	O	O	O	O	
,	O	O	O	O	
i	B-PER	O	O	O	
contadini	I-PER	O	O	O	
ritornavano	O	O	O	O	
dai	O	O	O	O	
campi	B-FAC	O	O	O	
in	O	O	O	O	
silenzio	O	O	O	O	
.	O	O	O	O	

Le	B-PER	O	O	O	
donne	I-PER	O	O	O	
,	O	O	O	O	
provenienti	O	O	O	O	
dallo	O	O	O	O	
stabilimento	B-FAC	O	O	O	
dove	O	O	O	O	
si	O	O	O	O	
lavorava	O	O	O	O	
la	O	O	O	O	
canapa	O	O	O	O	
,	O	O	O	O	
formavano	O	O	O	O	
un	B-PER	O	O	O	
gruppo	I-PER	O	O	O	
nel	O	O	O	O	
quale	O	O	O	O	
era	O	O	O	O	
tutto	O	O	O	O	
un	O	O	O	O	
discorrere	O	O	O	O	
fitto	O	O	O	O	
e	O	O	O	O	
sommesso	O	O	O	O	
.	O	O	O	O	

E	O	O	O	O	
spesso	O	O	O	O	
le	O	O	O	O	
parole	O	O	O	O	
erano	O	O	O	O	
rotte	O	O	O	O	
da	O	O	O	O	
singhiozzi	O	O	O	O	
,	O	O	O	O	
da	O	O	O	O	
gemiti	O	O	O	O	
.	O	O	O	O	

Maria	O	B-PER	O	O	
Scaramelli	O	I-PER	O	O	
--	O	I-PER	O	O	
moglie	O	I-PER	O	O	
di	O	I-PER	O	O	
Sandro	B-PER	I-PER	O	O	
Rampoldi	I-PER	I-PER	O	O	
il	I-PER	I-PER	O	O	
cavallante	I-PER	I-PER	O	O	
--	O	O	O	O	
giovine	B-PER	O	O	O	
donna	I-PER	O	O	O	
di	I-PER	O	O	O	
ventidue	I-PER	O	O	O	
anni	I-PER	O	O	O	
,	O	O	O	O	
diceva	O	O	O	O	
tra	O	O	O	O	
le	O	O	O	O	
lagrime	O	O	O	O	
:	O	O	O	O	
--	O	O	O	O	
Pare	O	O	O	O	
che	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
avesse	O	O	O	O	
in	O	O	O	O	
cuore	O	O	O	O	
,	O	O	O	O	
povera	B-PER	O	O	O	
Giulia	I-PER	O	O	O	
!	O	O	O	O	

Non	O	O	O	O	
ci	O	O	O	O	
voleva	O	O	O	O	
andare	O	O	O	O	
al	O	O	O	O	
lavoro	O	O	O	O	
stamattina	O	O	O	O	
!	O	O	O	O	

...	O	O	O	O	
Le	O	O	O	O	
doleva	O	O	O	O	
il	O	O	O	O	
capo	O	O	O	O	
;	O	O	O	O	
aveva	O	O	O	O	
bisogno	O	O	O	O	
di	O	O	O	O	
stare	O	O	O	O	
in	O	O	O	O	
casa	B-FAC	O	O	O	
a	O	O	O	O	
riposare	O	O	O	O	
qualche	O	O	O	O	
ora	O	O	O	O	
di	O	O	O	O	
più	O	O	O	O	
.	O	O	O	O	

Ma	O	O	O	O	
la	B-PER	O	O	O	
sua	I-PER	O	O	O	
cognata	I-PER	O	O	O	
le	O	O	O	O	
rammentò	O	O	O	O	
ch	O	O	O	O	
'	O	O	O	O	
era	O	O	O	O	
di	O	O	O	O	
turno	O	O	O	O	
alla	O	O	O	O	
macchina	O	O	O	O	
,	O	O	O	O	
che	O	O	O	O	
il	B-PER	O	O	O	
padrone	I-PER	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
avrebbe	O	O	O	O	
mandata	O	O	O	O	
a	O	O	O	O	
chiamare	O	O	O	O	
,	O	O	O	O	
e	O	O	O	O	
in	O	O	O	O	
tutte	O	O	O	O	
le	O	O	O	O	
maniere	O	O	O	O	
le	O	O	O	O	
sarebbe	O	O	O	O	
toccato	O	O	O	O	
di	O	O	O	O	
andarci	O	O	O	O	
;	O	O	O	O	
altrimenti	O	O	O	O	
sarebbe	O	O	O	O	
cascata	O	O	O	O	
in	O	O	O	O	
multa	O	O	O	O	
,	O	O	O	O	
o	O	O	O	O	
avrebbe	O	O	O	O	
dovuto	O	O	O	O	
pagare	O	O	O	O	
una	B-PER	O	O	O	
donna	I-PER	O	O	O	
,	O	O	O	O	
che	O	O	O	O	
è	O	O	O	O	
poi	O	O	O	O	
lo	O	O	O	O	
stesso	O	O	O	O	
.	O	O	O	O	

La	O	O	O	O	
si	O	O	O	O	
vestì	O	O	O	O	
di	O	O	O	O	
mala	O	O	O	O	
voglia	O	O	O	O	
e	O	O	O	O	
venne	O	O	O	O	
giù	O	O	O	O	
brontolando	O	O	O	O	
.	O	O	O	O	

Io	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
aspettavo	O	O	O	O	
come	O	O	O	O	
tutte	O	O	O	O	
le	O	O	O	O	
mattine	O	O	O	O	
per	O	O	O	O	
fare	O	O	O	O	
la	B-FAC	O	O	O	
strada	I-FAC	O	O	O	
insieme	O	O	O	O	
.	O	O	O	O	

Per	O	O	O	O	
tutta	B-FAC	O	O	O	
la	I-FAC	O	O	O	
strada	I-FAC	O	O	O	
non	O	O	O	O	
fece	O	O	O	O	
che	O	O	O	O	
lamentarsi	O	O	O	O	
.	O	O	O	O	

Povera	B-PER	O	O	O	
Giulia	I-PER	O	O	O	
!	O	O	O	O	

...	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
aveva	O	O	O	O	
in	O	O	O	O	
cuore	O	O	O	O	
,	O	O	O	O	
povera	B-PER	O	O	O	
figliuola	I-PER	O	O	O	
!	O	O	O	O	

...	O	O	O	O	
Ringrazio	O	O	O	O	
il	O	O	O	O	
Signore	B-PER	O	O	O	
che	O	O	O	O	
almeno	O	O	O	O	
non	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
ho	O	O	O	O	
vista	O	O	O	O	
quand	O	O	O	O	
'	O	O	O	O	
è	O	O	O	O	
cascata	O	O	O	O	
...	O	O	O	O	
--	O	O	O	O	
Avete	O	O	O	O	
ragione	O	O	O	O	
di	O	O	O	O	
ringraziare	O	O	O	O	
il	O	O	O	O	
Signore	B-PER	O	O	O	
--	O	O	O	O	
entrò	O	O	O	O	
a	O	O	O	O	
dire	O	O	O	O	
una	B-PER	O	O	O	
anziana	I-PER	O	O	O	
dal	I-PER	O	O	O	
viso	I-PER	O	O	O	
scarno	I-PER	O	O	O	
--	O	O	O	O	
Io	O	O	O	O	
invece	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
ho	O	O	O	O	
proprio	O	O	O	O	
vista	O	O	O	O	
,	O	O	O	O	
e	O	O	O	O	
non	O	O	O	O	
me	O	O	O	O	
ne	O	O	O	O	
scorderò	O	O	O	O	
finchè	O	O	O	O	
vivo	O	O	O	O	
.	O	O	O	O	

È	O	O	O	O	
successo	O	O	O	O	
tutto	O	O	O	O	
in	O	O	O	O	
un	O	O	O	O	
lampo	O	O	O	O	
,	O	O	O	O	
veh	O	O	O	O	
!	O	O	O	O	

Ecco	O	O	O	O	
:	O	O	O	O	
io	O	O	O	O	
stavo	O	O	O	O	
a	O	O	O	O	
lavorare	O	O	O	O	
al	O	O	O	O	
mio	O	O	O	O	
solito	O	O	O	O	
posto	O	O	O	O	
,	O	O	O	O	
poco	O	O	O	O	
discosta	O	O	O	O	
dalla	O	O	O	O	
Giulia	B-PER	O	O	O	
,	O	O	O	O	
ma	O	O	O	O	
con	O	O	O	O	
le	O	O	O	O	
spalle	O	O	O	O	
voltate	O	O	O	O	
.	O	O	O	O	

La	O	O	O	O	
macchina	O	O	O	O	
faceva	O	O	O	O	
un	O	O	O	O	
rumore	O	O	O	O	
di	O	O	O	O	
casa	O	B-FAC	O	O	
del	O	I-FAC	O	O	
diavolo	B-PER	I-FAC	O	O	
.	O	O	O	O	

Mi	O	O	O	O	
pareva	O	O	O	O	
che	O	O	O	O	
non	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
avesse	O	O	O	O	
mai	O	O	O	O	
fatto	O	O	O	O	
un	O	O	O	O	
fracasso	O	O	O	O	
così	O	O	O	O	
.	O	O	O	O	

Stavo	O	O	O	O	
per	O	O	O	O	
alzarmi	O	O	O	O	
e	O	O	O	O	
andare	O	O	O	O	
a	O	O	O	O	
vedere	O	O	O	O	
.	O	O	O	O	

In	O	O	O	O	
quella	O	O	O	O	
,	O	O	O	O	
sento	O	O	O	O	
un	O	O	O	O	
urlo	O	O	O	O	
,	O	O	O	O	
che	O	O	O	O	
mi	O	O	O	O	
ha	O	O	O	O	
rimescolata	O	O	O	O	
...	O	O	O	O	
--	O	O	O	O	
S	O	O	O	O	
'	O	O	O	O	
è	O	O	O	O	
sentito	O	O	O	O	
tutti	O	O	O	O	
!	O	O	O	O	

...	O	O	O	O	
esclamò	O	O	O	O	
un	B-PER	O	O	O	
'	I-PER	O	O	O	
altra	I-PER	O	O	O	
vecchia	I-PER	O	O	O	
facendosi	O	O	O	O	
il	O	O	O	O	
segno	O	O	O	O	
della	O	O	O	O	
croce	O	O	O	O	
.	O	O	O	O	

--	O	O	O	O	
Sì	O	O	O	O	
,	O	O	O	O	
ma	O	O	O	O	
io	O	O	O	O	
ch	O	O	O	O	
'	O	O	O	O	
ero	O	O	O	O	
là	O	O	O	O	
,	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
ho	O	O	O	O	
sentito	O	O	O	O	
nelle	O	O	O	O	
viscere	O	O	O	O	
.	O	O	O	O	

E	O	O	O	O	
son	O	O	O	O	
saltata	O	O	O	O	
su	O	O	O	O	
gridando	O	O	O	O	
:	O	O	O	O	
