LIBRO	O	O	O	O	
PRIMO	O	O	O	O	
I	O	O	O	O	
.	O	O	O	O	

La	B-PER	O	O	O	
creaturina	I-PER	O	O	O	
nella	I-PER	O	O	O	
culla	I-PER	O	O	O	
aprì	O	O	O	O	
gli	O	O	O	O	
occhi	O	O	O	O	
e	O	O	O	O	
disse	O	O	O	O	
:	O	O	O	O	
--	O	O	O	O	
Ho	O	O	O	O	
fame	O	O	O	O	
.	O	O	O	O	

Nulla	O	O	O	O	
si	O	O	O	O	
mosse	O	O	O	O	
nell	O	O	O	O	
'	O	O	O	O	
ombra	O	O	O	O	
della	O	O	O	O	
camera	B-FAC	O	O	O	
silenziosa	I-FAC	O	O	O	
e	O	O	O	O	
l	B-PER	O	O	O	
'	I-PER	O	O	O	
infante	I-PER	O	O	O	
ripetè	O	O	O	O	
il	O	O	O	O	
breve	O	O	O	O	
grido	O	O	O	O	
inarticolato	O	O	O	O	
.	O	O	O	O	

Allora	O	O	O	O	
s	O	O	O	O	
'	O	O	O	O	
udì	O	O	O	O	
un	O	O	O	O	
fruscìo	O	O	O	O	
di	O	O	O	O	
vesti	O	O	O	O	
,	O	O	O	O	
un	O	O	O	O	
lieve	O	O	O	O	
accorrere	O	O	O	O	
di	O	O	O	O	
passi	O	O	O	O	
:	O	O	O	O	
due	O	O	O	O	
tenere	O	O	O	O	
braccia	O	O	O	O	
lo	O	O	O	O	
sollevano	O	O	O	O	
,	O	O	O	O	
e	O	O	O	O	
lo	O	O	O	O	
acqueta	O	O	O	O	
un	O	O	O	O	
cinguettìo	O	O	O	O	
di	O	O	O	O	
dolci	O	O	O	O	
parole	O	O	O	O	
vane	O	O	O	O	
.	O	O	O	O	

Ecco	O	O	O	O	
per	O	O	O	O	
la	O	O	O	O	
puerile	O	O	O	O	
guancia	O	O	O	O	
il	O	O	O	O	
fresco	O	O	O	O	
petto	O	O	O	O	
materno	O	O	O	O	
,	O	O	O	O	
per	O	O	O	O	
la	O	O	O	O	
piccola	O	O	O	O	
bocca	O	O	O	O	
avida	O	O	O	O	
ecco	O	O	O	O	
la	O	O	O	O	
fonte	O	O	O	O	
di	O	O	O	O	
blande	O	O	O	O	
e	O	O	O	O	
bianche	O	O	O	O	
delizie	O	O	O	O	
.	O	O	O	O	

Sopita	O	O	O	O	
e	O	O	O	O	
soddisfatta	O	O	O	O	
la	B-PER	O	O	O	
creaturina	I-PER	O	O	O	
ricade	O	O	O	O	
nel	O	O	O	O	
sonno	O	O	O	O	
.	O	O	O	O	

La	B-PER	O	O	O	
piccola	I-PER	O	O	O	
Edith	I-PER	O	O	O	
Avory	I-PER	O	O	O	
tornò	O	O	O	O	
dalla	O	O	O	O	
scuola	B-FAC	O	O	O	
correndo	O	O	O	O	
,	O	O	O	O	
col	O	O	O	O	
cappello	O	O	O	O	
a	O	O	O	O	
sghembo	O	O	O	O	
e	O	O	O	O	
le	O	O	O	O	
treccie	O	O	O	O	
al	O	O	O	O	
vento	O	O	O	O	
,	O	O	O	O	
ed	O	O	O	O	
entrò	O	O	O	O	
ansante	O	O	O	O	
nella	O	O	O	O	
sala	O	B-FAC	O	O	
da	O	I-FAC	O	O	
pranzo	O	I-FAC	O	O	
della	O	I-FAC	O	O	
