Contessa	B-PER	O	O	O	
gentilissima	I-PER	O	O	O	
e	I-PER	O	O	O	
furibonda	I-PER	O	O	O	
amica	I-PER	O	O	O	
,	O	O	O	O	
Mea	O	O	O	O	
culpa	O	O	O	O	
!	O	O	O	O	

Mea	O	O	O	O	
culpa	O	O	O	O	
!	O	O	O	O	

Mea	O	O	O	O	
maxima	O	O	O	O	
culpa	O	O	O	O	
!	O	O	O	O	

...	O	O	O	O	
Non	O	O	O	O	
basterà	O	O	O	O	
picchiarsi	O	O	O	O	
il	O	O	O	O	
petto	O	O	O	O	
,	O	O	O	O	
accusarsi	O	O	O	O	
umilmente	O	O	O	O	
,	O	O	O	O	
implorare	O	O	O	O	
perdono	O	O	O	O	
?	O	O	O	O	

Ella	O	O	O	O	
dice	O	O	O	O	
di	O	O	O	O	
no	O	O	O	O	
?	O	O	O	O	

La	O	O	O	O	
colpa	O	O	O	O	
mia	O	O	O	O	
è	O	O	O	O	
proprio	O	O	O	O	
irremissibile	O	O	O	O	
?	O	O	O	O	

...	O	O	O	O	
Via	O	O	O	O	
,	O	O	O	O	
mi	O	O	O	O	
lasci	O	O	O	O	
almeno	O	O	O	O	
sperare	O	O	O	O	
.	O	O	O	O	

Ella	O	O	O	O	
sa	O	O	O	O	
del	O	O	O	O	
resto	O	O	O	O	
benissimo	O	O	O	O	
che	O	O	O	O	
la	O	O	O	O	
speranza	O	O	O	O	
non	O	O	O	O	
ha	O	O	O	O	
bisogno	O	O	O	O	
,	O	O	O	O	
non	O	O	O	O	
che	O	O	O	O	
di	O	O	O	O	
permessi	O	O	O	O	
,	O	O	O	O	
ma	O	O	O	O	
neppure	O	O	O	O	
d	O	O	O	O	
'	O	O	O	O	
argomenti	O	O	O	O	
per	O	O	O	O	
farci	O	O	O	O	
accogliere	O	O	O	O	
le	O	O	O	O	
sue	O	O	O	O	
persuasioni	O	O	O	O	
.	O	O	O	O	

Se	O	O	O	O	
pure	O	O	O	O	
ella	O	O	O	O	
non	O	O	O	O	
vuole	O	O	O	O	
,	O	O	O	O	
io	O	O	O	O	
posso	O	O	O	O	
egualmente	O	O	O	O	
credere	O	O	O	O	
che	O	O	O	O	
un	O	O	O	O	
giorno	O	O	O	O	
o	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
altro	O	O	O	O	
la	O	O	O	O	
troverò	O	O	O	O	
meno	O	O	O	O	
severa	O	O	O	O	
contro	O	O	O	O	
questo	O	O	O	O	
povero	O	O	O	O	
signor	O	O	O	O	
Me	O	O	O	O	
Stesso	O	O	O	O	
...	O	O	O	O	
E	O	O	O	O	
dire	O	O	O	O	
che	O	O	O	O	
era	O	O	O	O	
tanto	O	O	O	O	
disposta	O	O	O	O	
all	O	O	O	O	
'	O	O	O	O	
indulgenza	O	O	O	O	
!	O	O	O	O	

Mi	O	O	O	O	
faceva	O	O	O	O	
buone	O	O	O	O	
tante	O	O	O	O	
cose	O	O	O	O	
!	O	O	O	O	

Tollerava	O	O	O	O	
la	O	O	O	O	
mia	O	O	O	O	
freddezza	O	O	O	O	
,	O	O	O	O	
il	O	O	O	O	
mio	O	O	O	O	
scetticismo	O	O	O	O	
,	O	O	O	O	
la	O	O	O	O	
scettica	O	O	O	O	
e	O	O	O	O	
spietata	O	O	O	O	
freddezzacon	O	O	O	O	
la	O	O	O	O	
quale	O	O	O	O	
esposi	O	O	O	O	
le	O	O	O	O	
teorie	O	O	O	O	
più	O	O	O	O	
sconfortate	O	O	O	O	
;	O	O	O	O	
scusava	O	O	O	O	
,	O	O	O	O	
se	O	O	O	O	
pure	O	O	O	O	
non	O	O	O	O	
giustificava	O	O	O	O	
,	O	O	O	O	
il	O	O	O	O	
vandalismo	O	O	O	O	
morale	O	O	O	O	
col	O	O	O	O	
quale	O	O	O	O	
mi	O	O	O	O	
ero	O	O	O	O	
messo	O	O	O	O	
a	O	O	O	O	
sfrondare	O	O	O	O	
,	O	O	O	O	
ad	O	O	O	O	
abbattere	O	O	O	O	
,	O	O	O	O	
a	O	O	O	O	
disperdere	O	O	O	O	
ogni	O	O	O	O	
poesia	O	O	O	O	
e	O	O	O	O	
ogni	O	O	O	O	
idealità	O	O	O	O	
!	O	O	O	O	

Ma	O	O	O	O	
una	O	O	O	O	
cosa	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
ha	O	O	O	O	
rivoltata	O	O	O	O	
,	O	O	O	O	
una	O	O	O	O	
goccia	O	O	O	O	
di	O	O	O	O	
fiele	O	O	O	O	
ha	O	O	O	O	
fatto	O	O	O	O	
traboccare	O	O	O	O	
il	O	O	O	O	
suo	O	O	O	O	
sdegno	O	O	O	O	
.	O	O	O	O	

Quando	O	O	O	O	
io	O	O	O	O	
ho	O	O	O	O	
detto	O	O	O	O	
che	O	O	O	O	
gli	B-PER	O	O	O	
uomini	I-PER	O	O	O	
non	O	O	O	O	
possono	O	O	O	O	
intendersi	O	O	O	O	
,	O	O	O	O	
che	O	O	O	O	
le	O	O	O	O	
anime	O	O	O	O	
non	O	O	O	O	
possono	O	O	O	O	
comunicare	O	O	O	O	
,	O	O	O	O	
che	O	O	O	O	
il	O	O	O	O	
pensiero	O	O	O	O	
e	O	O	O	O	
il	O	O	O	O	
sentimento	O	O	O	O	
sono	O	O	O	O	
intrasmissibili	O	O	O	O	
,	O	O	O	O	
non	O	O	O	O	
m	O	O	O	O	
'	O	O	O	O	
è	O	O	O	O	
valso	O	O	O	O	
riferire	O	O	O	O	
il	O	O	O	O	
giudizio	O	O	O	O	
d	O	O	O	O	
'	O	O	O	O	
un	B-PER	O	O	O	
