Erano	O	O	O	O	
parecchi	O	O	O	O	
mesi	O	O	O	O	
che	O	O	O	O	
stavo	O	O	O	O	
sul	O	O	O	O	
lago	O	B-LOC	O	O	
di	O	I-LOC	O	O	
Como	B-GPE	I-LOC	O	O	
,	O	O	O	O	
passando	O	O	O	O	
il	O	O	O	O	
giorno	O	O	O	O	
a	O	O	O	O	
ciel	O	O	O	O	
sereno	O	O	O	O	
fra	O	O	O	O	
i	O	O	O	O	
semplici	O	O	O	O	
piaceri	O	O	O	O	
della	O	O	O	O	
villeggiatura	O	O	O	O	
,	O	O	O	O	
e	O	O	O	O	
la	O	O	O	O	
sera	O	O	O	O	
ad	O	O	O	O	
ascoltare	O	O	O	O	
della	O	O	O	O	
buona	O	O	O	O	
musica	O	O	O	O	
.	O	O	O	O	

E	O	O	O	O	
quelle	O	O	O	O	
armonie	O	O	O	O	
belle	O	O	O	O	
dell	O	O	O	O	
'	O	O	O	O	
arte	O	O	O	O	
,	O	O	O	O	
unite	O	O	O	O	
alle	O	O	O	O	
armonie	O	O	O	O	
della	O	O	O	O	
natura	O	O	O	O	
,	O	O	O	O	
avevano	O	O	O	O	
per	O	O	O	O	
me	O	O	O	O	
tale	O	O	O	O	
incanto	O	O	O	O	
,	O	O	O	O	
che	O	O	O	O	
non	O	O	O	O	
pensavo	O	O	O	O	
più	O	O	O	O	
a	O	O	O	O	
scrivere	O	O	O	O	
;	O	O	O	O	
o	O	O	O	O	
,	O	O	O	O	
se	O	O	O	O	
ci	O	O	O	O	
pensavo	O	O	O	O	
un	O	O	O	O	
momento	O	O	O	O	
,	O	O	O	O	
mi	O	O	O	O	
ravvedevo	O	O	O	O	
subito	O	O	O	O	
,	O	O	O	O	
perchè	O	O	O	O	
m	O	O	O	O	
'	O	O	O	O	
accorgevo	O	O	O	O	
che	O	O	O	O	
le	O	O	O	O	
mie	O	O	O	O	
parole	O	O	O	O	
messe	O	O	O	O	
in	O	O	O	O	
fila	O	O	O	O	
sopra	O	O	O	O	
la	O	O	O	O	
carta	O	O	O	O	
,	O	O	O	O	
erano	O	O	O	O	
una	O	O	O	O	
povera	O	O	O	O	
cosa	O	O	O	O	
al	O	O	O	O	
confronto	O	O	O	O	
di	O	O	O	O	
quella	O	O	O	O	
meraviglia	O	O	O	O	
di	O	O	O	O	
lago	B-LOC	O	O	O	
e	O	O	O	O	
di	O	O	O	O	
monti	B-LOC	O	O	O	
;	O	O	O	O	
e	O	O	O	O	
le	O	O	O	O	
mie	O	O	O	O	
rime	O	O	O	O	
appaiate	O	O	O	O	
avevano	O	O	O	O	
un	O	O	O	O	
misero	O	O	O	O	
suono	O	O	O	O	
al	O	O	O	O	
confronto	O	O	O	O	
di	O	O	O	O	
quelle	O	O	O	O	
musiche	O	O	O	O	
melodiose	O	O	O	O	
.	O	O	O	O	

Ma	O	O	O	O	
se	O	O	O	O	
queste	O	O	O	O	
erano	O	O	O	O	
buone	O	O	O	O	
ragioni	O	O	O	O	
per	O	O	O	O	
me	O	O	O	O	
di	O	O	O	O	
stare	O	O	O	O	
in	O	O	O	O	
ozio	O	O	O	O	
,	O	O	O	O	
non	O	O	O	O	
persuadevano	O	O	O	O	
punto	O	O	O	O	
il	O	B-PER	O	O	
direttore	O	I-PER	O	O	
d	O	I-PER	O	O	
'	O	I-PER	O	O	
un	B-ORG	I-PER	O	O	
giornale	I-ORG	I-PER	O	O	
per	O	O	O	O	
cui	O	O	O	O	
lavoravo	O	O	O	O	
,	O	O	O	O	
