I	O	O	O	O	
.	O	O	O	O	

La	O	O	O	O	
prima	O	O	O	O	
ad	O	O	O	O	
essere	O	O	O	O	
pronta	O	O	O	O	
fu	O	O	O	O	
Chérie	B-PER	O	O	O	
.	O	O	O	O	

Si	O	O	O	O	
gettò	O	O	O	O	
sulle	O	O	O	O	
spalle	O	O	O	O	
il	O	O	O	O	
lungo	O	O	O	O	
accappatoio	O	O	O	O	
a	O	O	O	O	
righe	O	O	O	O	
e	O	O	O	O	
si	O	O	O	O	
chinò	O	O	O	O	
a	O	O	O	O	
sollevare	O	O	O	O	
Amour	O	O	O	O	
che	O	O	O	O	
le	O	O	O	O	
abbaiava	O	O	O	O	
alle	O	O	O	O	
calcagne	O	O	O	O	
rosee	O	O	O	O	
e	O	O	O	O	
si	O	O	O	O	
torceva	O	O	O	O	
per	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
impazienza	O	O	O	O	
di	O	O	O	O	
uscire	O	O	O	O	
.	O	O	O	O	

Au	O	O	O	O	
revoir	O	O	O	O	
dans	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
eau	O	O	O	O	
,	O	O	O	O	
disse	O	O	O	O	
la	B-PER	O	O	O	
fanciulla	I-PER	O	O	O	
con	O	O	O	O	
allegro	O	O	O	O	
gesto	O	O	O	O	
di	O	O	O	O	
saluto	O	O	O	O	
alla	O	O	O	O	
piccola	O	O	O	O	
Mirella	B-PER	O	O	O	
e	O	O	O	O	
a	O	O	O	O	
Frida	B-PER	O	O	O	
,	I-PER	O	O	O	
la	I-PER	O	O	O	
governante	I-PER	O	O	O	
tedesca	I-PER	O	O	O	
.	O	O	O	O	

Oh	O	O	O	O	
,	O	O	O	O	
Frida	B-PER	O	O	O	
!	O	O	O	O	

Vite	O	O	O	O	
,	O	O	O	O	
vite	O	O	O	O	
,	O	O	O	O	
dégrafez	O	O	O	O	
-	O	O	O	O	
moi	O	O	O	O	
!	O	O	O	O	

gridò	O	O	O	O	
Mirella	B-PER	O	O	O	
volgendo	O	O	O	O	
le	O	O	O	O	
spalle	O	O	O	O	
alla	O	O	O	O	
giovane	B-PER	O	O	O	
donna	I-PER	O	O	O	
e	O	O	O	O	
indicandole	O	O	O	O	
con	O	O	O	O	
dito	O	O	O	O	
impaziente	O	O	O	O	
un	O	O	O	O	
gruppo	O	O	O	O	
di	O	O	O	O	
fettucce	O	O	O	O	
annodate	O	O	O	O	
che	O	O	O	O	
le	O	O	O	O	
pendevano	O	O	O	O	
dietro	O	O	O	O	
.	O	O	O	O	

Parlate	O	O	O	O	
tedesco	O	O	O	O	
,	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
ho	O	O	O	O	
già	O	O	O	O	
detto	O	O	O	O	
a	O	O	O	O	
tutt	O	O	O	O	
'	O	O	O	O	
e	O	O	O	O	
due	O	O	O	O	
.	O	O	O	O	

