Anch	O	O	O	O	
'	O	O	O	O	
egli	O	O	O	O	
è	O	O	O	O	
morto	O	O	O	O	
.	O	O	O	O	

L	O	O	O	O	
'	O	O	O	O	
ultima	O	O	O	O	
volta	O	O	O	O	
,	O	O	O	O	
che	O	O	O	O	
lo	O	O	O	O	
salutai	O	O	O	O	
alla	O	O	O	O	
stazione	O	O	O	O	
di	O	O	O	O	
Bologna	B-GPE	O	O	O	
,	O	O	O	O	
la	O	O	O	O	
notte	O	O	O	O	
estiva	O	O	O	O	
era	O	O	O	O	
cupa	O	O	O	O	
;	O	O	O	O	
grosse	O	O	O	O	
nuvole	O	O	O	O	
si	O	O	O	O	
spostavano	O	O	O	O	
grevi	O	O	O	O	
nel	O	O	O	O	
cielo	O	B-LOC	O	O	
senza	O	I-LOC	O	O	
stelle	B-LOC	I-LOC	O	O	
,	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
aria	O	O	O	O	
stagnava	O	O	O	O	
.	O	O	O	O	

Eravamo	O	O	O	O	
venuti	O	O	O	O	
a	O	O	O	O	
piedi	O	O	O	O	
per	O	O	O	O	
la	O	B-LOC	O	O	
nuova	O	I-LOC	O	O	
via	O	I-LOC	O	O	
della	O	I-LOC	O	O	
vecchia	B-GPE	I-LOC	O	O	
città	I-GPE	I-LOC	O	O	
,	O	O	O	O	
quasi	O	O	O	O	
deserta	O	O	O	O	
a	O	O	O	O	
quell	O	O	O	O	
'	O	O	O	O	
ora	O	O	O	O	
ma	O	O	O	O	
vivamente	O	O	O	O	
illuminata	O	O	O	O	
sotto	O	O	O	O	
i	O	O	O	O	
portici	O	O	O	O	
alti	O	O	O	O	
e	O	O	O	O	
sonori	O	O	O	O	
.	O	O	O	O	

Come	O	O	O	O	
sempre	O	O	O	O	
,	O	O	O	O	
egli	O	O	O	O	
parlava	O	O	O	O	
ammonendo	O	O	O	O	
,	O	O	O	O	
mentre	O	O	O	O	
a	O	O	O	O	
me	O	O	O	O	
pareva	O	O	O	O	
di	O	O	O	O	
sentire	O	O	O	O	
nell	O	O	O	O	
'	O	O	O	O	
aria	O	O	O	O	
,	O	O	O	O	
al	O	O	O	O	
disopra	O	O	O	O	
delle	O	O	O	O	
nostre	O	O	O	O	
teste	O	O	O	O	
,	O	O	O	O	
avvicinarsi	O	O	O	O	
qualche	O	O	O	O	
altra	O	O	O	O	
tristezza	O	O	O	O	
.	O	O	O	O	

Eppure	O	O	O	O	
la	O	O	O	O	
sua	O	O	O	O	
parola	O	O	O	O	
aveva	O	O	O	O	
la	O	O	O	O	
consueta	O	O	O	O	
limpidità	O	O	O	O	
quasi	O	O	O	O	
di	O	O	O	O	
alba	O	O	O	O	
,	O	O	O	O	
quando	O	O	O	O	
nel	O	O	O	O	
chiarore	O	O	O	O	
del	O	O	O	O	
giorno	O	O	O	O	
nascente	O	O	O	O	
traspare	O	O	O	O	
come	O	O	O	O	
la	O	O	O	O	
luce	O	O	O	O	
di	O	O	O	O	
un	B-LOC	O	O	O	
altro	I-LOC	O	O	O	
mondo	I-LOC	O	O	O	
lontano	I-LOC	O	O	O	
,	O	O	O	O	
e	O	O	O	O	
le	O	O	O	O	
prime	O	O	O	O	
voci	O	O	O	O	
della	O	O	O	O	
terra	O	O	O	O	
somigliano	O	O	O	O	
al	O	O	O	O	
murmure	O	O	O	O	
di	O	O	O	O	
una	O	O	O	O	
preghiera	O	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
Bisogna	O	O	O	O	
credere	O	O	O	O	
,	O	O	O	O	
bisogna	O	O	O	O	
credere	O	O	O	O	
—	O	O	O	O	
ripetè	O	O	O	O	
due	O	O	O	O	
o	O	O	O	O	
tre	O	O	O	O	
volte	O	O	O	O	
,	O	O	O	O	
e	O	O	O	O	
il	O	O	O	O	
suo	O	O	O	O	
largo	O	O	O	O	
gesto	O	O	O	O	
si	O	O	O	O	
appuntò	O	O	O	O	
dinanzi	O	O	O	O	
a	O	O	O	O	
noi	O	O	O	O	
nella	O	O	O	O	
notte	O	O	O	O	
,	O	O	O	O	
verso	O	O	O	O	
qualche	O	O	O	O	
cosa	O	O	O	O	
che	O	O	O	O	
ci	O	O	O	O	
aspettava	O	O	O	O	
.	O	O	O	O	

Infatti	O	O	O	O	
egli	O	O	O	O	
aveva	O	O	O	O	
sempre	O	O	O	O	
creduto	O	O	O	O	
la	O	O	O	O	
sua	O	O	O	O	
meta	O	O	O	O	
vicina	O	O	O	O	
,	O	O	O	O	
e	O	O	O	O	
la	O	O	O	O	
mia	O	O	O	O	
più	O	O	O	O	
alta	O	O	O	O	
ma	O	O	O	O	
egualmente	O	O	O	O	
sicura	O	O	O	O	
attraverso	O	O	O	O	
tutti	O	O	O	O	
i	O	O	O	O	
pericoli	O	O	O	O	
e	O	O	O	O	
gl	O	O	O	O	
'	O	O	O	O	
inganni	O	O	O	O	
della	O	O	O	O	
via	O	O	O	O	
.	O	O	O	O	

Una	O	O	O	O	
fede	O	O	O	O	
ardeva	O	O	O	O	
in	O	O	O	O	
lui	O	O	O	O	
col	O	O	O	O	
quieto	O	O	O	O	
splendore	O	O	O	O	
di	O	O	O	O	
una	O	O	O	O	
lampada	O	O	O	O	
,	O	O	O	O	
rischiarando	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
opera	O	O	O	O	
della	O	O	O	O	
vita	O	O	O	O	
già	O	O	O	O	
piena	O	O	O	O	
di	O	O	O	O	
risultati	O	O	O	O	
:	O	O	O	O	
aveva	O	O	O	O	
molto	O	O	O	O	
amato	O	O	O	O	
e	O	O	O	O	
pensato	O	O	O	O	
,	O	O	O	O	
combattuto	O	O	O	O	
,	O	O	O	O	
sofferto	O	O	O	O	
e	O	O	O	O	
vinto	O	O	O	O	
per	O	O	O	O	
sè	O	O	O	O	
e	O	O	O	O	
per	O	O	O	O	
i	O	O	O	O	
suoi	O	O	O	O	
senza	O	O	O	O	
che	O	O	O	O	
dall	O	O	O	O	
'	O	O	O	O	
anima	O	O	O	O	
una	O	O	O	O	
sola	O	O	O	O	
speranza	O	O	O	O	
gli	O	O	O	O	
si	O	O	O	O	
involasse	O	O	O	O	
per	O	O	O	O	
sempre	O	O	O	O	
.	O	O	O	O	

Come	O	O	O	O	
quei	B-PER	O	O	O	
minatori	I-PER	O	O	O	
che	O	O	O	O	
sfondano	O	O	O	O	
un	B-LOC	O	O	O	
monte	I-LOC	O	O	O	
perchè	O	O	O	O	
le	B-VEH	O	O	O	
locomotive	I-VEH	O	O	O	
possano	O	O	O	O	
oltrepassarlo	O	O	O	O	
,	O	O	O	O	
ed	O	O	O	O	
avanzano	O	O	O	O	
per	O	O	O	O	
le	O	O	O	O	
sue	O	O	O	O	
tenebre	O	O	O	O	
con	O	O	O	O	
una	O	O	O	O	
instancabile	O	O	O	O	
fiducia	O	O	O	O	
alla	O	O	O	O	
luce	O	O	O	O	
,	O	O	O	O	
mentre	O	O	O	O	
gli	O	O	O	O	
ostacoli	O	O	O	O	
raddoppiano	O	O	O	O	
ad	O	O	O	O	
ogni	O	O	O	O	
passo	O	O	O	O	
le	O	O	O	O	
sfide	O	O	O	O	
dell	O	O	O	O	
'	O	O	O	O	
impenetrabilità	O	O	O	O	
e	O	O	O	O	
le	O	O	O	O	
minacce	O	O	O	O	
della	O	O	O	O	
morte	O	O	O	O	
,	O	O	O	O	
era	O	O	O	O	
proceduto	O	O	O	O	
lentamente	O	O	O	O	
e	O	O	O	O	
fortemente	O	O	O	O	
dissimulando	O	O	O	O	
nella	O	O	O	O	
calma	O	O	O	O	
della	O	O	O	O	
costanza	O	O	O	O	
la	O	O	O	O	
sicurezza	O	O	O	O	
del	O	O	O	O	
pensiero	O	O	O	O	
.	O	O	O	O	

Perchè	O	O	O	O	
,	O	O	O	O	
in	O	O	O	O	
questa	O	O	O	O	
convulsa	O	O	O	O	
fretta	O	O	O	O	
della	O	O	O	O	
vita	O	O	O	O	
presente	O	O	O	O	
,	O	O	O	O	
egli	O	O	O	O	
era	O	O	O	O	
ancora	O	O	O	O	
un	B-PER	O	O	O	
gran	I-PER	O	O	O	
signore	I-PER	O	O	O	
di	I-PER	O	O	O	
altri	I-PER	O	O	O	
tempi	I-PER	O	O	O	
,	O	O	O	O	
che	O	O	O	O	
sapeva	O	O	O	O	
già	O	O	O	O	
la	B-FAC	O	O	O	
propria	I-FAC	O	O	O	
strada	I-FAC	O	O	O	
ed	O	O	O	O	
accettandone	O	O	O	O	
le	O	O	O	O	
inevitabili	O	O	O	O	
deviazioni	O	O	O	O	
moderne	O	O	O	O	
,	O	O	O	O	
serbava	O	O	O	O	
intatto	O	O	O	O	
in	O	O	O	O	
se	O	O	O	O	
medesimo	O	O	O	O	
il	O	O	O	O	
privilegio	O	O	O	O	
di	O	O	O	O	
tale	O	O	O	O	
fortuna	O	O	O	O	
.	O	O	O	O	

Invano	O	O	O	O	
questa	O	O	O	O	
sembrò	O	O	O	O	
sul	O	O	O	O	
principio	O	O	O	O	
compiacersi	O	O	O	O	
ad	O	O	O	O	
imporgli	O	O	O	O	
la	O	O	O	O	
prova	O	O	O	O	
della	O	O	O	O	
degradazione	O	O	O	O	
,	O	O	O	O	
così	O	O	O	O	
difficile	O	O	O	O	
per	O	O	O	O	
coloro	O	O	O	O	
nei	O	O	O	O	
quali	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
orgoglio	O	O	O	O	
antico	O	O	O	O	
della	O	O	O	O	
famiglia	B-PER	O	O	O	
accumulò	O	O	O	O	
le	O	O	O	O	
ripugnanze	O	O	O	O	
al	O	O	O	O	
lavoro	O	O	O	O	
volgare	O	O	O	O	
,	O	O	O	O	
che	O	O	O	O	
consuma	O	O	O	O	
il	O	O	O	O	
tempo	O	O	O	O	
e	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
ingegno	O	O	O	O	
nell	O	O	O	O	
'	O	O	O	O	
assidua	O	O	O	O	
conquista	O	O	O	O	
di	O	O	O	O	
tutti	O	O	O	O	
i	O	O	O	O	
piccoli	O	O	O	O	
modi	O	O	O	O	
della	O	O	O	O	
vita	O	O	O	O	
,	O	O	O	O	
giacchè	O	O	O	O	
il	O	O	O	O	
suo	O	O	O	O	
spirito	O	O	O	O	
con	O	O	O	O	
mirabile	O	O	O	O	
modernità	O	O	O	O	
aveva	O	O	O	O	
prima	O	O	O	O	
della	O	O	O	O	
prova	O	O	O	O	
scoperto	O	O	O	O	
il	O	O	O	O	
segreto	O	O	O	O	
di	O	O	O	O	
rinnovare	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
avito	O	O	O	O	
primato	O	O	O	O	
nel	O	O	O	O	
