I	O	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
Voialtri	O	O	O	O	
,	O	O	O	O	
insomma	O	O	O	O	
,	O	O	O	O	
mirate	O	O	O	O	
a	O	O	O	O	
rovinare	O	O	O	O	
il	O	O	O	O	
commercio	O	O	O	O	
del	O	O	O	O	
vino	O	O	O	O	
italiano	O	O	O	O	
in	O	O	O	O	
Argentina	B-GPE	O	O	O	
?	O	O	O	O	

—	O	O	O	O	
Si	O	O	O	O	
capisce	O	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
Lei	O	O	O	O	
ier	O	O	O	O	
sera	O	O	O	O	
mi	O	O	O	O	
diceva	O	O	O	O	
che	O	O	O	O	
ha	O	O	O	O	
fatto	O	O	O	O	
educare	O	O	O	O	
i	B-PER	O	O	O	
suoi	I-PER	O	O	O	
figliuoli	I-PER	O	O	O	
in	O	O	O	O	
Italia	B-GPE	O	O	O	
e	O	O	O	O	
che	O	O	O	O	
non	O	O	O	O	
può	O	O	O	O	
stare	O	O	O	O	
senza	O	O	O	O	
ritornare	O	O	O	O	
in	O	O	O	O	
Italia	B-GPE	O	O	O	
per	O	O	O	O	
lo	O	O	O	O	
meno	O	O	O	O	
ogni	O	O	O	O	
due	O	O	O	O	
anni	O	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
È	O	O	O	O	
vero	O	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
Ma	O	O	O	O	
è	O	O	O	O	
altrettanto	O	O	O	O	
vero	O	O	O	O	
che	O	O	O	O	
,	O	O	O	O	
non	O	O	O	O	
ostante	O	O	O	O	
questo	O	O	O	O	
,	O	O	O	O	
Lei	O	O	O	O	
non	O	O	O	O	
può	O	O	O	O	
vantare	O	O	O	O	
la	O	O	O	O	
sua	O	O	O	O	
italianità	O	O	O	O	
come	O	O	O	O	
faceva	O	O	O	O	
ier	O	O	O	O	
sera	O	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
Perchè	O	O	O	O	
?	O	O	O	O	

—	O	O	O	O	
Semplicemente	O	O	O	O	
perchè	O	O	O	O	
Lei	O	O	O	O	
è	O	O	O	O	
un	O	B-PER	O	O	
produttore	O	I-PER	O	O	
di	O	I-PER	O	O	
vino	O	I-PER	O	O	
di	O	I-PER	O	O	
Mendoza	B-GPE	I-PER	O	O	
,	O	O	O	O	
vale	O	O	O	O	
a	O	O	O	O	
dire	O	O	O	O	
un	O	B-PER	O	O	
nemico	O	I-PER	O	O	
dell	O	I-PER	O	O	
'	O	I-PER	O	O	
importazione	O	I-PER	O	O	
del	O	I-PER	O	O	
vino	O	I-PER	O	O	
italiano	O	I-PER	O	O	
in	O	I-PER	O	O	
Argentina	B-GPE	I-PER	O	O	
.	O	O	O	O	

Lo	O	O	O	O	
ha	O	O	O	O	
detto	O	O	O	O	
e	O	O	O	O	
non	O	O	O	O	
