Fu	O	O	O	O	
il	O	O	O	O	
30	O	O	O	O	
giugno	O	O	O	O	
,	O	O	O	O	
giorno	O	O	O	O	
degli	O	O	O	O	
esami	O	O	O	O	
al	O	O	O	O	
Politecnico	B-FAC	O	O	O	
:	O	O	O	O	
uno	B-PER	O	O	O	
studente	I-PER	O	O	O	
trentino	I-PER	O	O	O	
giunse	O	O	O	O	
in	O	O	O	O	
ritardo	O	O	O	O	
.	O	O	O	O	

Aveva	O	O	O	O	
quasi	O	O	O	O	
le	O	O	O	O	
lagrime	O	O	O	O	
agli	O	O	O	O	
occhi	O	O	O	O	
per	O	O	O	O	
la	O	O	O	O	
commozione	O	O	O	O	
.	O	O	O	O	

La	O	O	O	O	
sera	O	O	O	O	
precedente	O	O	O	O	
—	O	O	O	O	
mi	O	O	O	O	
pare	O	O	O	O	
—	O	O	O	O	
era	O	O	O	O	
scoppiata	O	O	O	O	
la	O	O	O	O	
notizia	O	O	O	O	
della	O	O	O	O	
tragedia	O	O	O	O	
di	O	O	O	O	
Seraievo	B-GPE	O	O	O	
:	O	O	O	O	
l	O	B-PER	O	O	
'	O	I-PER	O	O	
arciduca	O	I-PER	O	O	
Francesco	O	I-PER	O	O	
Ferdinando	O	I-PER	O	O	
da	O	I-PER	O	O	
Este	O	I-PER	O	O	
,	O	I-PER	O	O	
l	O	I-PER	O	O	
'	O	I-PER	O	O	
erede	O	I-PER	O	O	
al	O	I-PER	O	O	
trono	O	I-PER	O	O	
d	O	I-PER	O	O	
'	O	I-PER	O	O	
Austria	B-GPE	I-PER	O	O	
,	O	O	O	O	
era	O	O	O	O	
stato	O	O	O	O	
assassinato	O	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
Giustiziato	O	O	O	O	
!	O	O	O	O	

—	O	O	O	O	
Come	O	O	O	O	
crede	O	O	O	O	
lei	O	O	O	O	
,	O	O	O	O	
mio	B-PER	O	O	O	
caro	I-PER	O	O	O	
giovine	I-PER	O	O	O	
,	O	O	O	O	
risposi	O	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
Posso	O	O	O	O	
convenire	O	O	O	O	
con	O	O	O	O	
lei	O	O	O	O	
che	O	O	O	O	
la	O	O	O	O	
violenza	O	O	O	O	
rimane	O	O	O	O	
una	O	O	O	O	
delle	O	O	O	O	
cose	O	O	O	O	
più	O	O	O	O	
positive	O	O	O	O	
del	O	O	O	O	
mondo	O	O	O	O	
:	O	O	O	O	
ma	O	O	O	O	
i	O	O	O	O	
suoi	O	O	O	O	
frutti	O	O	O	O	
non	O	O	O	O	
mi	O	O	O	O	
piacciono	O	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
La	O	O	O	O	
storia	O	O	O	O	
del	O	O	O	O	
mondo	B-LOC	O	O	O	
procede	O	O	O	O	
per	O	O	O	O	
atti	O	O	O	O	
di	O	O	O	O	
violenza	O	O	O	O	
!	O	O	O	O	

—	O	O	O	O	
Lo	O	O	O	O	
so	O	O	O	O	
;	O	O	O	O	
ed	O	O	O	O	
appunto	O	O	O	O	
per	O	O	O	O	
questo	O	O	O	O	
non	O	O	O	O	
è	O	O	O	O	
un	O	O	O	O	
'	O	O	O	O	
allegra	O	O	O	O	
storia	O	O	O	O	
.	O	O	O	O	

E	O	O	O	O	
quella	B-PER	O	O	O	
povera	I-PER	O	O	O	
arciduchessa	I-PER	O	O	O	
?	O	O	O	O	

—	O	O	O	O	
Una	O	O	O	O	
reazionaria	O	O	O	O	
fanatica	O	O	O	O	
,	O	O	O	O	
peggio	O	O	O	O	
