I	O	O	O	O	
.	O	O	O	O	

La	O	O	O	O	
neve	O	O	O	O	
cadeva	O	O	O	O	
a	O	O	O	O	
larghe	O	O	O	O	
falde	O	O	O	O	
a	O	O	O	O	
Pieve	B-GPE	O	O	O	
di	I-GPE	O	O	O	
Cadore	I-GPE	O	O	O	
,	O	O	O	O	
e	O	O	O	O	
il	O	O	O	O	
vento	O	O	O	O	
che	O	O	O	O	
soffiava	O	O	O	O	
dall	O	O	O	O	
'	O	O	O	O	
Antelao	B-LOC	O	O	O	
la	O	O	O	O	
portava	O	O	O	O	
sui	O	O	O	O	
ballatoi	B-FAC	O	O	O	
e	O	O	O	O	
sulle	O	O	O	O	
scale	O	O	O	O	
esterne	O	O	O	O	
delle	O	O	O	O	
vecchie	B-FAC	O	O	O	
case	I-FAC	O	O	O	
di	I-FAC	O	O	O	
legno	I-FAC	O	O	O	
,	O	O	O	O	
sui	O	O	O	O	
poggiuoli	O	O	O	O	
e	O	O	O	O	
sulle	O	O	O	O	
cornici	O	O	O	O	
dei	O	O	O	O	
balconi	B-FAC	O	O	O	
delle	I-FAC	O	O	O	
case	I-FAC	O	O	O	
nuove	I-FAC	O	O	O	
.	O	O	O	O	

Il	O	O	O	O	
nevischio	O	O	O	O	
penetrava	O	O	O	O	
in	O	O	O	O	
tutti	O	O	O	O	
gli	O	O	O	O	
angoli	O	O	O	O	
,	O	O	O	O	
si	O	O	O	O	
accumulava	O	O	O	O	
sugli	O	O	O	O	
abbaini	O	O	O	O	
dei	O	O	O	O	
tetti	O	O	O	O	
,	O	O	O	O	
si	O	O	O	O	
distendeva	O	O	O	O	
sugli	O	O	O	O	
spigoli	O	O	O	O	
sporgenti	O	O	O	O	
dai	O	O	O	O	
muri	B-FAC	O	O	O	
.	O	O	O	O	

Nella	O	O	O	O	
penombra	O	O	O	O	
della	O	O	O	O	
sera	O	O	O	O	
si	O	O	O	O	
vedevano	O	O	O	O	
i	O	O	O	O	
fuochi	O	O	O	O	
accesi	O	O	O	O	
nelle	O	O	O	O	
cucine	B-FAC	O	O	O	
;	O	O	O	O	
e	O	O	O	O	
il	O	O	O	O	
fumo	O	O	O	O	
che	O	O	O	O	
usciva	O	O	O	O	
dalle	O	O	O	O	
porte	O	O	O	O	
dei	O	O	O	O	
casolari	B-FAC	O	O	O	
,	O	O	O	O	
e	O	O	O	O	
dai	O	O	O	O	
camini	O	O	O	O	
delle	O	O	O	O	
case	B-FAC	O	O	O	
,	O	O	O	O	
spargeva	O	O	O	O	
d	O	O	O	O	
'	O	O	O	O	
intorno	O	O	O	O	
un	O	O	O	O	
odore	O	O	O	O	
di	O	O	O	O	
resina	O	O	O	O	
misto	O	O	O	O	
di	O	O	O	O	
fritto	O	O	O	O	
e	O	O	O	O	
di	O	O	O	O	
arrosto	O	O	O	O	
,	O	O	O	O	
che	O	O	O	O	
