CAPITOLO	O	O	O	O	
PRIMO	O	O	O	O	
.	O	O	O	O	

Nel	O	O	O	O	
quale	O	O	O	O	
Phileas	B-PER	O	O	O	
Fogg	I-PER	O	O	O	
e	O	O	O	O	
Gambalesta	B-PER	O	O	O	
si	O	O	O	O	
accettano	O	O	O	O	
reciprocamente	O	O	O	O	
l	B-PER	O	O	O	
'	I-PER	O	O	O	
uno	I-PER	O	O	O	
come	O	O	O	O	
padrone	B-PER	O	O	O	
l	B-PER	O	O	O	
'	I-PER	O	O	O	
altro	I-PER	O	O	O	
come	O	O	O	O	
servitore	B-PER	O	O	O	
.	O	O	O	O	

Nell	O	O	O	O	
'	O	O	O	O	
anno	O	O	O	O	
1872	O	O	O	O	
,	O	O	O	O	
la	B-FAC	O	O	O	
casa	I-FAC	O	O	O	
recante	O	O	O	O	
il	B-LOC	O	O	O	
numero	I-LOC	O	O	O	
7	I-LOC	O	O	O	
di	I-LOC	O	O	O	
Saville	I-LOC	O	O	O	
-	I-LOC	O	O	O	
row	I-LOC	O	O	O	
,	I-LOC	O	O	O	
Burlington	I-LOC	O	O	O	
Garden	I-LOC	O	O	O	
,	O	O	O	O	
—	O	O	O	O	
casa	B-FAC	O	O	O	
in	O	O	O	O	
cui	O	O	O	O	
morì	O	O	O	O	
Sheridan	B-PER	O	O	O	
nel	O	O	O	O	
1814	O	O	O	O	
,	O	O	O	O	
—	O	O	O	O	
era	O	O	O	O	
abitata	O	O	O	O	
da	O	O	O	O	
Phileas	B-PER	O	O	O	
Fogg	I-PER	O	O	O	
,	O	O	O	O	
esq	O	O	O	O	
.	O	O	O	O	

,	O	O	O	O	
uno	O	O	B-PER	O	
dei	O	O	I-PER	O	
membri	O	O	I-PER	O	
più	O	O	I-PER	O	
singolari	O	O	I-PER	O	
e	O	O	I-PER	O	
più	O	O	I-PER	O	
segnalati	O	O	I-PER	O	
del	O	O	I-PER	O	
Reform	O	B-ORG	I-PER	O	
-	O	I-ORG	I-PER	O	
Club	O	I-ORG	I-PER	O	
di	O	I-ORG	I-PER	O	
Londra	B-GPE	I-ORG	I-PER	O	
,	O	O	O	O	
quantunque	O	O	O	O	
sembrasse	O	O	O	O	
studiarsi	O	O	O	O	
di	O	O	O	O	
non	O	O	O	O	
far	O	O	O	O	
nulla	O	O	O	O	
che	O	O	O	O	
potesse	O	O	O	O	
attirare	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
attenzione	O	O	O	O	
.	O	O	O	O	

Ad	O	O	O	O	
uno	B-PER	O	O	O	
dei	I-PER	O	O	O	
più	I-PER	O	O	O	
grandi	I-PER	O	O	O	
oratori	I-PER	O	O	O	
che	O	O	O	O	
onorano	O	O	O	O	
l	B-GPE	O	O	O	
'	I-GPE	O	O	O	
Inghilterra	I-GPE	O	O	O	
,	O	O	O	O	
succedeva	O	O	O	O	
dunque	O	O	O	O	
in	O	O	O	O	
quella	B-FAC	O	O	O	
casa	I-FAC	O	O	O	
codesto	B-PER	O	O	O	
Phileas	I-PER	O	O	O	
Fogg	I-PER	O	O	O	
,	I-PER	O	O	O	
personaggio	I-PER	O	O	O	
enigmatico	I-PER	O	O	O	
,	O	O	O	O	
di	O	O	O	O	
cui	O	O	O	O	
nessuno	B-PER	O	O	O	
sapeva	O	O	O	O	
niente	O	O	O	O	
,	O	O	O	O	
fuorchè	O	O	O	O	
essere	O	O	O	O	
un	B-PER	O	O	O	
fior	I-PER	O	O	O	
di	I-PER	O	O	O	
galantuomo	I-PER	O	O	O	
,	O	O	O	O	
ed	O	O	O	O	
uno	O	B-PER	O	O	
dei	O	I-PER	O	O	
più	O	I-PER	O	O	
bei	O	I-PER	O	O	
gentlemen	O	I-PER	O	O	
dell	O	I-PER	O	O	
'	O	I-PER	O	O	
alta	B-ORG	I-PER	O	O	
società	I-ORG	I-PER	O	O	
inglese	I-ORG	I-PER	O	O	
.	O	O	O	O	

Si	O	O	O	O	
diceva	O	O	O	O	
che	O	O	O	O	
rassomigliasse	O	O	O	O	
a	O	O	O	O	
Byron	B-PER	O	O	O	
,	O	O	O	O	
—	O	O	O	O	
nella	O	O	O	O	
testa	O	O	O	O	
,	O	O	O	O	
poichè	O	O	O	O	
era	O	O	O	O	
senza	O	O	O	O	
difetti	O	O	O	O	
ai	O	O	O	O	
piedi	O	O	O	O	
—	O	O	O	O	
ma	O	O	O	O	
un	B-PER	O	O	O	
Byron	I-PER	O	O	O	
con	I-PER	O	O	O	
mustacchi	I-PER	O	O	O	
e	I-PER	O	O	O	
favoriti	I-PER	O	O	O	
,	O	O	O	O	
impassibile	O	O	O	O	
,	O	O	O	O	
da	O	O	O	O	
poter	O	O	O	O	
vivere	O	O	O	O	
mille	O	O	O	O	
anni	O	O	O	O	
senza	O	O	O	O	
invecchiare	O	O	O	O	
.	O	O	O	O	

Inglese	B-PER	O	O	O	
senz	O	O	O	O	
'	O	O	O	O	
alcun	O	O	O	O	
dubbio	O	O	O	O	
,	O	O	O	O	
Phileas	B-PER	O	O	O	
Fogg	I-PER	O	O	O	
non	O	O	O	O	
era	O	O	O	O	
forse	O	O	O	O	
Londinese	B-PER	O	O	O	
.	O	O	O	O	

Non	O	O	O	O	
lo	O	O	O	O	
si	O	O	O	O	
era	O	O	O	O	
mai	O	O	O	O	
